Name;Ticker;Dauergewinner;Dividenden
ABN AMRO;ABN.AS;False;True
AEGON;AGN.AS;False;True
ASML Holding;ASML.AS;True;False
AT&T;T;False;True
Alphabet A (Google);GOOGL;True;False
Altria Group;MO;False;True
Amazon;AMZN;True;False
Amgen;AMGN;True;False
Amundi MSCI Water ESG Screened UCITS ETF EUR Dis.;WAT.PA;True;False
Apple;AAPL;True;False
BNP Paribas;BNP.PA;False;True
Bechtle;BC8.DE;True;False
Berkshire Hathaway B;BRK-B;True;False
CME Group;CME;True;False
China Mobile;0941.HK;False;True
Colgate-Palmolive;CL;True;False
DWS Group;DWS.DE;False;True
Danaher;DHR;True;False
Eurocommercial Properties;ECMPA.AS;False;True
Exxon Mobil;XOM;False;True
Fastenal;FAST;True;False
Freenet;FNTN.DE;False;True
Frontline;FRO;False;True
Greencoat UK Wind;UKW.L;False;True
H&M Hennes & Mauritz;HM-B.ST;False;True
Hannover Rück;HNR1.DE;True;False
Hoeegh Autoliners;HAUTO.OL;False;True
Imperial Brands;IMB.L;False;True
Iron Mountain;IRM;False;True
KPN;KPN.AS;False;True
Land Securities Group;LAND.L;False;True
Legal & General;LGEN.L;False;True
Lyondellbasell Industries;LYB;False;True
M&G PLC;MNG.L;False;True
Mastercard;MA;True;False
Mercedes-Benz Group (Daimler);MBG.DE;False;True
Microsoft;MSFT;True;False
Moody's;MCO;True;False
Mowi ASA;MOWI.OL;False;True
NEPI ROCKCASTLE EO -,01;NRP.JO;False;True
Nemetschek;NEM.DE;True;False
Primary Health Properties;PHP.L;False;True
RTL;RRTL.DE;False;True
Rio Tinto;RIO.L;False;True
Sartorius Vz.;SRT3.DE;True;False
Scor;SCR.PA;False;True
Signify;LIGHT.AS;False;True
Sixt Vz;SIX3.DE;False;True
Standard Life;SDLF.L;False;True
Stryker;SYK;True;False
Supermarket Income REIT;SUPR.L;False;True
TAG Immobilien;TEG.DE;False;True
TUI;TUI1.DE;False;True
Tanger Factory Outlet;SKT;False;True
The Link REIT;0823.HK;False;True
The Sherwin-Williams Company;SHW;True;False
Union Pacific;UNP;True;False
United Overseas Bank;U11.SI;True;False
VanEck Morningstar Developed Markets Dividend Leaders UCITS ETF EUR Dis.;TDIV.AS;False;True
Vinci;DG.PA;True;False
Visa;V;True;False
Wereldhave;WHA.AS;False;True
