Name;Ticker;Typ;WKN;ISIN;Stück;Kaufkurs;Kaufdatum;Kaufwert;Spesen EUR;Aktueller Kurs;Kurswährung;Aktueller Wert EUR;Gewinn Verlust EUR;Gewinn Verlust Prozent;Gewichtung Prozent
ABN AMRO;ABN.AS;Aktie;A143G0;NL0011540547;183,0;27,34 EUR;04.03.26;5.003,22 EUR;;37,7;EUR;6.899,10;;;4,07 %
AEGON;AGN.AS;Aktie;A3ET99;BMG0112X1056;803,0;6,24 EUR;05.03.26;5.007,51 EUR;;8,05;EUR;6.462,54;;;6,73 %
Altria Group;MO;Aktie;200417;US02209S1033;100,0;42,62 EUR;01.07.19;4.261,50 EUR;;64,2;EUR;6.420,00;;;3,79 %
AT&T;T;Aktie;A0HL9Z;US00206R1023;150,0;29,95 EUR;03.07.19;4.492,50 EUR;;21,14;EUR;3.171,00;;;1,87 %
BNP Paribas;BNP.PA;Aktie;887771;FR0000131104;100,0;42,09 EUR;01.07.19;4.208,50 EUR;;105,5;EUR;10.550,00;;;6,22 %
China Mobile;0941.HK;Aktie;909622;HK0941009539;585,0;8,56 EUR;05.03.26;5.008,19 EUR;;8,46;EUR;4.949,10;;;5,16 %
DWS Group;DWS.DE;Aktie;DWS100;DE000DWS1007;86,0;58,45 EUR;05.03.26;5.026,70 EUR;;70,4;EUR;6.054,40;;;6,31 %
Eurocommercial Properties;ECMPA.AS;Aktie;A3CZHN;NL0015000K93;188,0;26,80 EUR;04.03.26;5.038,40 EUR;;27,2;EUR;5.113,60;;;3,02 %
Exxon Mobil;XOM;Aktie;A426ZY;US30233Q1085;70,0;68,11 EUR;01.07.19;4.767,70 EUR;;119,8;EUR;8.386,00;;;4,95 %
Freenet;FNTN.DE;Aktie;A0Z2ZZ;DE000A0Z2ZZ5;180,0;28,06 EUR;05.03.26;5.050,80 EUR;;24,58;EUR;4.424,40;;;4,61 %
Frontline;FRO;Aktie;A3D38W;CY0200352116;167,0;30,11 EUR;05.03.26;5.028,37 EUR;;34,88;EUR;5.824,96;;;6,07 %
Greencoat UK Wind;UKW.L;Aktie;A1T7LN;GB00B8SC6K54;4,45;1,13 EUR;05.03.26;5.028,50 EUR;;1,28;EUR;5.696,00;;;5,93 %
H&M Hennes & Mauritz;HM-B.ST;Aktie;872318;SE0000106270;300,0;17,73 EUR;12.11.19;5.317,80 EUR;;14,84;EUR;4.450,50;;;2,63 %
Hoeegh Autoliners;HAUTO.OL;Aktie;A3C8LV;NO0011082075;406,0;12,34 EUR;04.03.26;5.010,04 EUR;;15,02;EUR;6.098,12;;;3,60 %
Imperial Brands;IMB.L;Aktie;903000;GB0004544929;200,0;23,92 EUR;16.01.20;4.783,00 EUR;;33,01;EUR;6.602,00;;;3,90 %
Iron Mountain;IRM;Aktie;A14MS9;US46284V1017;200,0;27,10 EUR;01.07.19;5.420,00 EUR;;114,15;EUR;22.830,00;;;13,47 %
KPN;KPN.AS;Aktie;890963;NL0000009082;1,05;4,78 EUR;04.03.26;5.022,15 EUR;;4,1;EUR;4.302,90;;;2,54 %
Land Securities Group;LAND.L;Aktie;A2DW9E;GB00BYW0PQ60;740,0;6,80 EUR;02.10.25;5.032,00 EUR;;8,27;EUR;6.119,80;;;3,61 %
Legal & General;LGEN.L;Aktie;851584;GB0005603997;2,0;2,79 EUR;22.09.25;5.580,00 EUR;;3,55;EUR;7.098,00;;;4,19 %
