Name;Ticker;Typ;WKN;ISIN;Stück;Kaufkurs;Kaufdatum;Kaufwert EUR;Spesen EUR;Aktueller Kurs;Kurswährung;Aktueller Wert EUR;Gewinn Verlust EUR;Gewinn Verlust Prozent;Gewichtung Prozent
ASML Holding;ASML.AS;Aktie;A1J4U4;NL0010273215;16;319,75;2020-08-31;5116,00;;1565,80;EUR;25052,80;19936,80;389,70;10,51
Moody's;MCO;Aktie;915246;US6153691059;13;387,25;2026-05-24;5034,25;;423,00;EUR;5499,00;464,75;9,23;2,31
Apple;AAPL;Aktie;865985;US0378331005;160;40,00;2019-05-26;6400,00;;274,30;EUR;43888,00;37488,00;585,75;18,40
CME Group;CME;Aktie;A0MW32;US12572Q1058;20;254,60;2026-05-25;5092,00;;208,70;EUR;4174,00;-918,00;-18,03;1,75
Alphabet A (Google);GOOGL;Aktie;A14Y6F;US02079K3059;100;50,75;2019-05-26;5075,00;;312,75;EUR;31275,00;26200,00;516,26;13,12
Stryker;SYK;Aktie;864952;US8636671013;25;212,17;2020-01-20;4782,48;;326,85;USD;7147,50;2365,02;49,45;3,00
Vinci;DG.PA;Aktie;867475;FR0000125486;46;110,35;2024-09-18;5076,10;12,00;119,75;EUR;5508,50;420,40;8,26;2,31
Visa;V;Aktie;A0NC7B;US92826C8394;17;303,10;2026-07-09;5152,70;;304,85;EUR;5182,45;29,75;0,58;2,17
Berkshire Hathaway B;BRK-B;Aktie;A0YJQ2;US0846707026;30;179,98;2019-05-26;5399,40;;433,90;EUR;13017,00;7617,60;141,08;5,46
Union Pacific;UNP;Aktie;858144;US9078181081;20;247,90;2026-07-09;4958,00;;249,90;EUR;4998,00;40,00;0,81;2,10
Amundi MSCI Water ESG Screened UCITS ETF EUR Dis.;WAT.PA;ETF;LYX0CA;FR0010527275;100;49,01;2021-02-06;4901,00;;69,80;EUR;6980,00;2079,00;42,42;2,93
Danaher;DHR;Aktie;866197;US2358511028;25;194,30;2020-10-30;4857,50;;171,70;EUR;4292,50;-565,00;-11,63;1,80
Amazon;AMZN;Aktie;906866;US0231351067;80;81,25;2019-05-26;6500,00;;216,60;EUR;17328,00;10828,00;166,58;7,27
Bechtle;BC8.DE;Aktie;515870;DE0005158703;90;56,46;2020-08-31;5081,40;;30,54;EUR;2748,60;-2332,80;-45,91;1,15
Amgen;AMGN;Aktie;867900;US0311621009;16;301,05;2024-09-20;4816,80;;318,90;EUR;5102,40;285,60;5,93;2,14
Fastenal;FAST;Aktie;887891;US3119001044;133;37,75;2026-05-24;5020,75;;40,66;EUR;5407,78;387,03;7,71;2,27
Colgate-Palmolive;CL;Aktie;850667;US1941621039;54;93,48;2024-09-24;5047,92;;79,84;EUR;4311,36;-736,56;-14,59;1,81
Hannover Rück;HNR1.DE;Aktie;840221;DE0008402215;20;252,70;2024-09-25;5054,00;;251,60;EUR;5032,00;-22,00;-0,44;2,11
Mastercard;MA;Aktie;A0F602;US57636Q1040;30;224,65;2019-05-26;6739,50;;459,30;EUR;13779,00;7039,50;104,45;5,78
Microsoft;MSFT;Aktie;870747;US5949181045;19;264,85;2022-01-26;5032,15;;338,60;EUR;6433,40;1401,25;27,85;2,70
Nemetschek;NEM.DE;Aktie;645290;DE0006452907;100;48,80;2019-11-01;4880,00;;57,30;EUR;5730,00;850,00;17,42;2,40
United Overseas Bank;U11.SI;Aktie;878618;SG1M31001969;194;25,78;2026-05-24;5001,32;;29,98;EUR;5816,12;814,80;16,29;2,44
Sartorius Vz.;SRT3.DE;Aktie;716563;DE0007165631;40;167,20;2019-05-26;6688,00;;244,00;EUR;9760,00;3072,00;45,93;4,09

