date,price,earnings,trailing_pe,cape
1871.01,4.44,0.4,11.1,
1871.02,4.5,0.4,11.25,
1871.03,4.61,0.4,11.525,
1871.04,4.74,0.4,11.85,
1871.05,4.86,0.4,12.15,
1871.06,4.82,0.4,12.05,
1871.07,4.73,0.4,11.825000000000001,
1871.08,4.79,0.4,11.975,
1871.09,4.84,0.4,12.1,
1871.1,4.59,0.4,11.475,
1871.11,4.64,0.4,11.599999999999998,
1871.12,4.74,0.4,11.85,
1872.01,4.86,0.4025,12.074534161490684,
1872.02,4.88,0.405,12.049382716049381,
1872.03,5.04,0.4075,12.368098159509204,
1872.04,5.18,0.41,12.634146341463415,
1872.05,5.18,0.4125,12.557575757575757,
1872.06,5.13,0.415,12.361445783132531,
1872.07,5.1,0.4175,12.215568862275449,
1872.08,5.04,0.42,12.0,
1872.09,4.95,0.4225,11.715976331360947,
1872.1,4.97,0.425,11.694117647058823,
1872.11,4.95,0.4275,11.578947368421053,
1872.12,5.07,0.43,11.790697674418606,
1873.01,5.11,0.4325,11.815028901734104,
1873.02,5.15,0.435,11.839080459770116,
1873.03,5.11,0.4375,11.680000000000001,
1873.04,5.04,0.44,11.454545454545455,
1873.05,5.05,0.4425,11.412429378531073,
1873.06,4.98,0.445,11.191011235955058,
1873.07,4.97,0.4475,11.106145251396647,
1873.08,4.97,0.45,11.044444444444444,
1873.09,4.59,0.4525,10.143646408839778,
1873.1,4.19,0.455,9.20879120879121,
1873.11,4.04,0.4575,8.830601092896174,
1873.12,4.42,0.46,9.608695652173912,
1874.01,4.66,0.46,10.130434782608695,
1874.02,4.8,0.46,10.43478260869565,
1874.03,4.73,0.46,10.282608695652174,
1874.04,4.6,0.46,9.999999999999998,
1874.05,4.48,0.46,9.73913043478261,
1874.06,4.46,0.46,9.695652173913043,
1874.07,4.46,0.46,9.695652173913043,
1874.08,4.47,0.46,9.717391304347824,
1874.09,4.54,0.46,9.869565217391305,
1874.1,4.53,0.46,9.847826086956522,
1874.11,4.57,0.46,9.934782608695652,
1874.12,4.54,0.46,9.869565217391305,
1875.01,4.54,0.4517,10.050918751383662,
1875.02,4.53,0.4433,10.218813444619895,
1875.03,4.59,0.435,10.551724137931034,
1875.04,4.65,0.4267,10.8975861260839,
1875.05,4.47,0.4183,10.686110447047573,
1875.06,4.38,0.41,10.682926829268293,
1875.07,4.39,0.4017,10.928553647000248,
1875.08,4.41,0.3933,11.212814645308926,
1875.09,4.37,0.385,11.35064935064935,
1875.1,4.3,0.3767,11.414919033713831,
1875.11,4.37,0.3683,11.865327178930219,
1875.12,4.37,0.36,12.13888888888889,
1876.01,4.46,0.3533,12.62383243702236,
1876.02,4.52,0.3467,13.037207960773001,
1876.03,4.51,0.34,13.26470588235294,
1876.04,4.34,0.3333,13.021302130213021,
1876.05,4.18,0.3267,12.794612794612794,
1876.06,4.15,0.32,12.96875,
1876.07,4.1,0.3133,13.086498563676985,
1876.08,3.93,0.3067,12.813824584284319,
1876.09,3.69,0.3,12.3,
1876.1,3.67,0.2933,12.512785543811797,
1876.11,3.6,0.2867,12.556679455877223,
1876.12,3.58,0.28,12.785714285714285,
1877.01,3.55,0.2817,12.602058927937522,
1877.02,3.34,0.2833,11.789622308506884,
1877.03,3.17,0.285,11.12280701754386,
1877.04,2.94,0.2867,10.254621555633065,
1877.05,2.94,0.2883,10.197710718002082,
1877.06,2.73,0.29,9.413793103448276,
1877.07,2.85,0.2917,9.77031196434693,
1877.08,3.05,0.2933,10.39890896692806,
1877.09,3.24,0.295,10.983050847457628,
1877.1,3.31,0.2967,11.156049882035726,
1877.11,3.26,0.2983,10.928595373784779,
1877.12,3.25,0.3,10.833333333333334,
1878.01,3.25,0.3008,10.804521276595745,
1878.02,3.18,0.3017,10.540271793172025,
1878.03,3.24,0.3025,10.710743801652894,
1878.04,3.33,0.3033,10.979228486646884,
1878.05,3.34,0.3042,10.979618671926362,
1878.06,3.41,0.305,11.18032786885246,
1878.07,3.48,0.3058,11.379986919555265,
1878.08,3.45,0.3067,11.248777306814478,
1878.09,3.52,0.3075,11.447154471544716,
1878.1,3.48,0.3083,11.287706779111254,
1878.11,3.47,0.3092,11.222509702457957,
1878.12,3.45,0.31,11.129032258064516,
1879.01,3.58,0.3158,11.336288790373654,
1879.02,3.71,0.3217,11.532483680447623,
1879.03,3.65,0.3275,11.14503816793893,
1879.04,3.77,0.3333,11.311131113111312,
1879.05,3.94,0.3392,11.61556603773585,
1879.06,3.96,0.345,11.478260869565219,
1879.07,4.04,0.3508,11.516533637400228,
1879.08,4.07,0.3567,11.410148584244464,
1879.09,4.22,0.3625,11.641379310344828,
1879.1,4.68,0.3683,12.707032310616343,
1879.11,4.93,0.3742,13.174772848743988,
1879.12,4.92,0.38,12.947368421052632,
1880.01,5.11,0.3892,13.129496402877699,
1880.02,5.2,0.3983,13.05548581471253,
1880.03,5.3,0.4075,13.006134969325155,
1880.04,5.18,0.4167,12.431005519558434,
1880.05,4.77,0.4258,11.202442461249412,
1880.06,4.79,0.435,11.011494252873563,
1880.07,5.01,0.4442,11.278703286807744,
1880.08,5.19,0.4533,11.449371277299802,
1880.09,5.18,0.4625,11.2,
1880.1,5.33,0.4717,11.299554801780793,
1880.11,5.61,0.4808,11.668053244592347,
1880.12,5.84,0.49,11.918367346938776,
1881.01,6.19,0.4858,12.741869081926719,18.47395230140494
1881.02,6.17,0.4817,12.808802159020136,18.14725816499023
1881.03,6.24,0.4775,13.068062827225132,18.27011914020499
1881.04,6.22,0.4733,13.141770547221634,17.95010827822289
1881.05,6.5,0.4692,13.853367433930094,18.869718693152592
1881.06,6.58,0.465,14.150537634408602,19.02871073111578
1881.07,6.35,0.4608,13.780381944444445,18.116367187389738
1881.08,6.2,0.4567,13.575651412305671,17.286243553973446
1881.09,6.25,0.4525,13.812154696132596,16.724836648772897
1881.1,6.15,0.4483,13.71849208119563,16.261989411181354
1881.11,6.19,0.4442,13.935164340387214,16.47864231664487
1881.12,6.01,0.44,13.659090909090908,15.958754206105079
1882.01,5.92,0.4392,13.479052823315119,15.678764160028743
1882.02,5.79,0.4383,13.210130047912388,15.153861528363038
