Name,Ticker,Sektor,Branche,Land,Liste,Aktiv
ASML,ASML.AS,Technology,Semiconductor Equipment,Netherlands,Benchmark,1
AT&T,T,Communication Services,Telecom Services,USA,Benchmark,1
Abbott Laboratories,ABT,Healthcare,Medical Devices,USA,Benchmark,1
Adobe,ADBE,Technology,Software,USA,Benchmark,1
Air Liquide,AI.PA,Basic Materials,Specialty Chemicals,France,Benchmark,1
Airbnb,ABNB,Consumer Cyclical,Travel Services,USA,Benchmark,1
Airbus SE,AIR.DE,Industrials,Aerospace & Defense,Netherlands,DAX,
Allianz,ALV.DE,Financial Services,Insurance - Diversified,Germany,Benchmark;DAX,1
Alphabet,GOOGL,Communication Services,Internet Content & Information,USA,Benchmark,1
Amazon,AMZN,Consumer Cyclical,Internet Retail,USA,Benchmark,1
American Tower,AMT,Real Estate,REIT - Specialty,USA,Benchmark,1
Amgen,AMGN,Healthcare,Drug Manufacturers - General,USA,Benchmark,1
Apple,AAPL,Technology,Consumer Electronics,USA,Benchmark;Watchlist,1
Ares Management,ARES,Financial Services,Asset Management,USA,Benchmark,1
BASF SE,BAS.DE,Basic Materials,Chemicals,Germany,DAX,
BHP,BHP,Basic Materials,Industrial Metals & Mining,Australia,Benchmark,1
Barrick Mining,B,Basic Materials,Gold,Canada,Benchmark,1
Bayer Aktiengesellschaft,BAYN.DE,Healthcare,Drug Manufacturers - General,Germany,DAX,
Bayerische Motoren Werke Aktiengesellschaft,BMW.DE,Consumer Cyclical,Auto Manufacturers,Germany,DAX,
Befesa,BFSA.F,Industrials,Waste Management,Luxembourg,Benchmark,1
Beiersdorf Aktiengesellschaft,BEI.DE,Consumer Defensive,Household & Personal Products,Germany,DAX,
Berkshire Hathaway,BRK-B,Financial Services,Insurance - Diversified,USA,Benchmark,1
BlackRock,BLK,Financial Services,Asset Management,USA,Benchmark,1
Blackstone,BX,Financial Services,Asset Management,USA,Benchmark,1
Booking Holdings,BKNG,Consumer Cyclical,Travel Services,USA,Benchmark,1
Brenntag SE,BNR.DE,Basic Materials,Specialty Chemicals,Germany,DAX,
Broadcom,AVGO,Technology,Semiconductors,USA,Benchmark,1
Brookfield Corporation,BN,Financial Services,Asset Management,Canada,Benchmark,1
CME Group,CME,Financial Services,Financial Exchanges & Data,USA,Benchmark,1
Cadence Design Systems,CDNS,Technology,Software,USA,Benchmark,1
Canadian National Railway,CNI,Industrials,Railroads,Canada,Benchmark,1
Chevron,CVX,Energy,Oil & Gas Integrated,USA,Benchmark,1
Coca-Cola,KO,Consumer Defensive,Beverages - Non-Alcoholic,USA,Benchmark,1
Commerzbank,CBK.DE,Financial Services,Banks - Regional,Germany,Benchmark;DAX,1
Continental Aktiengesellschaft,CON.DE,Consumer Cyclical,Auto Parts,Germany,DAX,
Costco,COST,Consumer Defensive,Discount Stores,USA,Benchmark,1
Daimler Truck Holding AG,DTG.DE,Industrials,Farm & Heavy Construction Machinery,Germany,DAX,
Danaher,DHR,Healthcare,Diagnostics & Research,USA,Benchmark,1
